company,location,title,job_desc,role
Southern Management Corporation,"Greenville, SC",Credit Data Business Analyst,"
Develop and optimize risk strategies and credit guidelines that drive portfolio growth while ensuring that portfolios operate within boundaries of acceptable risk
Gather, organize, and analyze information.
Extract and compile performance data from various source systems for qualitative and/or quantitative analyses
Conduct various ad-hoc analyses to support strategy and monitoring functions
Provide daily support for departmental operations
Provide insight for process improvement across functional areas
Monitoring deliverables and ensuring timely completion of projects
Other tasks as assigned.
Supports the implementation of new strategic initiatives based on data analysis of related KPI’s and monitors/tracks results accordingly.
Working with data team members, analyze large, complex data sets utilizing data mining and statistical techniques to identify and interpret trends or patterns to drive collection strategy and policy enhancements.
Develop recommendations and present analysis to management in a clear, concise, convincing, and actionable format
Develop and test multiple hypotheses using results from analyses to generate and answer new questions leading to more in-depth understanding of business issue(s) being studied.
Produces high quality dashboards in a clear format that highlights actionable data points using tables, charts and text.
Develops/amends workflows to ensure business needs are met.
Evaluate/develop/implement analytical techniques and best practices to gain a competitive advantage
Perform periodic reviews of applications and loans to ensure policy adherence and proper underwriting.

Bachelor's degree or equivalent experience; Master’s Degree (preferred) in Finance, Economics, Business, Accounting, Statistics, Data Analytics, or similar field.
5+ years of experience in business, data, or risk analysis preferred",data analyst
First Tech Federal Credit Union,"Hillsboro, OR",Consumer Lending Data Analyst,"
In partnership with key stakeholders, analyze, test and launch new initiatives to increase productivity
Provide data driven insights and recommendations to various departments within the credit union
Perform key competitor research and analysis to better inform product strategy and direction
Creating advanced reports, dashboards and deep dive analyses that inform and drive the
credit union’s product and business strategy
Create and refine predictive models on product, marketing, and risk initiatives
Uncover actionable insights for increased product performance
Partnering with marketing, finance and digital teams to enable business and systems synergy
Minimum 3 years’ previous experience in a complex analyst role; financial institution strongly preferred
Minimum 3 years’ previous experience with data collection methodologies
Experience with relational databases, e.g., SQL, Alteryx, and Tableau will help you succeed in this role
Familiarity with coding languages, e.g., R, Python
Strong understanding of statistical overlays and models for predictive analytics
Ability to analyze data from a strategic point of view and contribute to and influence discussions that drive the business
Ability to use key performance metrics and data to provide insights and make strategic business recommendations
Proficiency to organize, analyze and interpret data to explain complex irregularities or trends
Form strong relationships with cross-functional teams where support, resources and synergy is needed
Basic understanding of lending principals and risk metrics
Project Management experience; familiarity with Six Sigma/DMAIC methodologies
Expert knowledge of Excel
Education: Bachelor’s degree in Business Administration, other related fields of study or equivalent experience",data analyst
The University of Pittsburgh,"Pittsburgh, PA",Data Analyst,NA,data analyst
UFCU,"Austin, TX",Data Analyst,"Understanding of EDW data models, mappings, complex transformations.
Creates and champions processes/methodology for capturing and maintaining EDW metadata and artifactsAnalysis, understanding, and documentation of internal and external source system data, including the quality and meaning of the dataHelp provide integrity checks on data used to aid with qualityAssists with data warehouse development and enhancements. Provides design support for the development of business intelligence solutionsWrites reports, adds new fields, creates Business Objects filters, measures and objects; and creates dashboards to improve current data warehouseProvides data analysis and recommendations for the correction, enhancement and/or development of ad-hoc and canned end-user reportsDevelops and manages ongoing process improvements to the reporting workflow focusing on automation, accuracy, and timeliness of informationDemonstrate service excellence with an emphasis on ownership of issues and drive for resultsComplete incident and service request tasks in a timely manner in order to meet service level agreementsTroubleshoot and resolve complex issues.Conduct root cause analysis as needed and take action to prevent future occurrences of incidentsPerforms other duties as assignedAdhere to all company policies, procedures and business ethics codesMaintain strict adherence and compliance to all laws, rules, regulations, policies, procedures and internal controls specific to the roleAssociate or bachelor degree3-5 years as a business intelligence analyst, data analyst, business analyst or similar roleExperience creating visualizations and dashboards using PowerBI, TableauStrong expertise with Excel, SQL, and Python, other like scripting/reporting toolsDemonstrated ability to work cross-organizationally to gather business requirements, track and measure against goals, objectives or KPIsDemonstrated ability to interpret data to understand business impact and derive business insightsGood understanding of SQL Database and data warehouse design principles (e.g. facts, dimensions)Demonstrated understanding of EDW Data Modeling frameworksDemonstrated ability and understanding of T-SQLKnowledge of basic programming concepts and systems implementationFamiliarity with Microsoft Visual Studio, SQL Server Reporting Services, and Team Foundation Server/Azure DevOps highly desirableDemonstrated experience/proficiency in data analysisHands-on experience with Quality Assurance Documentation and report buildersDemonstrated knowledge of IT technologies – server, network and storageSuperb analytical & troubleshooting skillsHighly collaborative/Team PlayerExcellent customer service and communication skillsHigh level of organization and prioritizationDefine and develop complex systemsMust be able to pass a financial and criminal background checkWhile performing the duties of this job, the employee is regularly required to sit; use hands to finger, handle or feel; reach with hands and arms; and talk or hear.Specific vision abilities required by this job include close vision, distance vision, peripheral vision and ability to adjust focus.The employee is frequently required to stand and walk.Employee will make extensive use of the telephone requiring the ability to effectively and accurately explain complex information.This position may involve periodic stressful conditions.May occasionally require an adjusted work schedule, overtime, and evening/weekend hours.May occasionally move from one work location/branch to another.Public contact position, requiring appropriate professional appearance.Frequent computer use at a workstation up to two hours at a time.The noise level in the work environment is usually moderate.Leading & Developing SelfOrganizational Impact",data analyst
"Battea - Class Action Services, LLC","Stamford, CT",Data Analyst,"Communicate effectively with Account Managers and Operations staffManage large volumes of data and assist in retrieving and appraising new dataWork independently and extensively with SQL in data processingProcess and analyze data to ensure accuracy and completeness via SQLResearch inquiries, validate data patterns and solve complex business problems using SQLTrack data issues and satisfy ad hoc analysis requests in a timely fashion, while managing expectationsMonitor and implement data integrity across staging and production environmentsUndergraduate degree, finance or technology preferredBackground in financial Industry oriented Information Systems or Medical Data, Math, Statistics, Economics or FinanceMUST HAVE a working knowledge of SQL, writing SQL queries and proficiency in MS ExcelExperience in analyzing data from various sources and formats, and applying data insights to cleanse and transform data into a standardized formatExperience in processing, aggregating and merging historical data sets from varying sources into a single unified datasetAbility to identify, analyze, and interpret trends or patterns in complex data setsSelf‐motivated, inquisitive with a high level of integrity and able to complete tasks with minimal supervisionDetail oriented with exceptional analytical and creative problem solving ability with strong written and verbal communication skillsFlexible, comfortable working in a fast paced environment and able to adapt to quick changesMinimum work experience of 2-5 yearsExcel: 2 years (Preferred)sql: 2 years (Required)Data Analysis: 2 years (Required)Bachelor's (Required)United States (Required)BonusesHealth insuranceDental insuranceVision insuranceRetirement planMonday to Fridayhttps://www.battea.com/Waiting period may applyOnly full-time employees eligibleTemporarily due to COVID-19",data analyst
Shelter Insurance,"Columbia, MO",Data Analyst - Underwriting,"Collects, manipulates and analyzes data.
Prepares reports in graphs, charts, dashboards and other forms of visualization.
Researches relationships that exist among the company's various databases.
Responsible for monitoring and ensuring maintenance of data integrity and quality control of systems.
Verifies that data repositories provide consistent, reusable data, and identifies and communicates data limitations.
Provides team leadership and participates in developing requirements, definition, testing, and designing data analyses.
Takes initiative in completing projects and requests and makes contact with various departments in researching requests.
Other duties may be assigned to meet ongoing business needs.
Ability to perform essential functions of the job, with or without a reasonable accommodation.
Superior analytical, investigative, problem-solving and decision-making abilities. MS Excel, MS Access, Tableau, and/or SAS Programming experience and data analysis skills desired.
Inquisitive and creative; brainstorms alternative solutions and questions existing approaches.
Excellent oral and written communication skills to articulate needs to Information Services. Presents business cases for proposed changes, and to gain acceptance of new systems and practices.
Desires continuous learning in both technical competencies and industry knowledge.
Ability to manage time effectively, maintain schedules to meet deadlines, and work well within a team environment.
Ability and aptitute to learn different technologies.
Superior interpersonal skills to effectively function in lead roles, train others on systems and/or procedures, and conduct meetings.
Requires data analytics-related experience.
Knowledge of insurance policies, procedures, operations, and philosophies, as well as business rules, regulations and applicable state laws is preferred.
Completion of a four (4) year college degree and/or successful completion of industry course work.",data analyst
Private,"St. Louis, MO",Data Analyst,"401K(matching structure)Performance IncentivesPTO (Holiday, Vacation and Sick time)Medical BenefitsOvertime (Time and ½)Advancement OpportunitiesLong Term Job SecurityBonusesHealth insuranceDental insuranceVision insuranceRetirement planPaid time offMonday to FridayNo weekendsDay shift8 hour shiftNo",data analyst
"INTEGRATED FEDERAL SOLUTIONS, INC.","Washington, DC",Acquisition Data Analyst,"Excellent interpersonal and communication skills in person, over the phone, and in writing. Ability to communicate effectively with a broad range of stakeholders at all levels of the organization, from support staff and teammates to leadership and executive decision makers. Ability to communicate thoughts and ideas clearly in writing and in person.Detail-oriented and meticulous in drafting, reviewing, and updating acquisition related documents and reports. Comfortable navigating existing contracting and acquisition templates, language, and forms, as well as has the ability to develop ground-up solutions to unique or novel acquisition related problems.Self-starter and self-motivated. Ability to work independently and develop and maintain work priorities.Tireless in researching and problem-solving.Develop, refine, or adapt acquisition related templates and reports.Review acquisition related data for accuracy and collaborate with stakeholders to resolve issues.Track the status of all contracts and orders from planning to completion, estimate time to complete activities, provide associated milestones, and record projected and actual costs.Assist with facilitating, routing, and tracking contract documentation and requisition packages ensuring completion and appropriate reviews and approvals for processing.Acquisition data analysis and reporting.Assist with producing monthly, quarterly, and ad hoc contract data reports.Document framework for current contracting processes and assist with defining future contracting processes.Manage the acquisition life cycle to track current and future procurement actions.Acquisition data verification and validation, including reconciling obligations on a monthly basis.Provide accurate and complete data for records management.Document and revise existing processes, procedures, controls, user support materials, and other supporting documentation.",data analyst
UpNest,"Burlingame, CA",Product Analyst (Power BI),post graduation: 1 year (Required)SQL: 1 year (Required)tech company: 1 year (Required)What city are you currently based? Will you need visa sponsorship?Other formsOne locationHealth insuranceDental insuranceRetirement planPaid time offTuition reimbursement8 hour shifthttps://www.facebook.com/upnest/No,data analyst
HubSpot,"Cambridge, MA","Principal Data Analyst, Sales Operations",NA,data analyst
Cogo Labs,"Cambridge, MA",Quantitative Data Analyst,"Near obsessive use of data to inform business decisions. We believe that efficient growth happens when we make every decision based on solid, well directed analysis.Unmatched opportunity. We believe in mentoring people to grow as quickly as they can. Today's new grad hires are tomorrow's leaders.Flexibility and novelty. Your role will define itself over time, as you identify the problems that you are uniquely capable of solving.A fun, supportive culture. Happy employees are the most successful. We take care of our own, and not just because it's good business.A bachelor's degree in a field that requires deep analytical thinking and problem solving. Many of us have Math, Econ, Engineering, or Comp Sci backgrounds, but applications from all quantitative fields are welcome.0-2 years of experience in an analytics focused role.Flexibility and self motivation. We value the willingness to wear many hats and the commitment to work on whatever needs to get done.The ability to make a strong (data driven) case when presenting findings and recommendations, while remaining curious and receptive to feedback.Demonstrated ability to work effectively as part of a team, and dedication to helping your teammates learn.Passions and interests outside of work you aren't just your resume.Bonus points if you've previously been responsible for a business unit's bottom line.Analytically minded: Data-driven; believes in the value of making decisions on the basis of rigorous, empirical processesArticulate: Clearly states project missions, update, decisions, and rationales verbally and in writingEnthusiastic: Passionate about work; brings a can-do attitude to all activitiesEntrepreneurial: Track record of good decision-making and eager to take on a wide variety of analytical and business roles and responsibilitiesFlexible: Adjusts quickly to changing priorities and conditions; enjoys working in and thrives in a rapidly changing environmentFocused on results: biased for action; focused on specific goals and resistant to distractionOpen to Feedback: Actively asks for advice; eager to receive performance feedback and responds positively to suggestions and constructive criticismOwnership: What happens or doesn't happen within your project is your responsibilityProactive: Acts without being told what to do when appropriate; develops new ideas and self-guides within broader missionSelf-reflective: Considers work in the context of the entire organization; thinks about self-improvementSupportive: Actively helps fellow team members and treats them with respect and kindnessWork Ethic: Possesses a strong willingness to work hard and sometimes to work long hours to get the job done.",data analyst
Cubic Corporation,"Boston, MA",Data Analyst,"Liaises extensively with internal and external clients.
Assist with the capture of business needs and requirements using interviews, document analysis, workshops, surveys, site visits, business process descriptions, use cases, scenarios, business analysis, task and workflow analysis;
Assist with the development of internal and external requirements specifications according to standard templates using natural language;
Monitoring KPI's within dashboard.
Critically evaluates information gathered to reconcile conflicts, decomposes high-level information into details, abstract up from low-level information to a general understanding of true needs.
Creates logical and innovative solutions to complex problems.
Identifies options for potential solutions and assesses them for both technical and business suitability.
Translates client requirements into highly specified project briefs.
Draws up specific proposals for modified or replacement systems and presents proposals to clients.
Present designs to management and internal customers and, once approved, work closely with the engineering teams to implement the solution;
Collaborate with developers and subject matter experts to establish a technical vision, and analyze tradeoffs between usability and performance;
Produces project feasibility reports and present to management.
Manages critical client specific applications, ensuring stable, efficient, and accurate operation.
Works closely with developers and a variety of end users to ensure technical compatibility and user satisfaction.
Ensures that deadlines are met.
Writes user manuals and provides training to users of a new system.
Keeps up to date with technical as well as industry sector developments.
Minimum Job Requirements:

Four year university degree in computer science, statistics, economics, mathematics, operations research, informatics, or related field plus a minimum of two years business analyst work experience. Experience working with external customers developing business design documentation. Project management and resource management experience are required. Significant experience with those of the following technologies which direct relate to role: database and application management, report design, SQL experience, use case requirements for a multimodal one-account, or financial system configuration of CODA and CCH. Background managing unstructured data sets, such as Data Modeling, R and Python is a plus. Must have excellent communication skills with the ability to communicate new ideas/issues to others as well as effectively interface with employees, management and customers. Must be very detail orientated and be able to plan and work flexibly to a deadline. The position requires strong analytical and problem solving skills. Position also requires the ability to work autonomously. Individual must be able to travel periodically to customer sites.
",data analyst
Emerald,"Framingham, MA","Data and Reporting Analyst, Marketing Operations","Work with management to identify key performance indicators that are tracked over time and across brands, and identify and report on leading indicators that quickly highlight areas of opportunity and riskBuild standard reports that provide senior and brand management with insights into customer trends and behaviorsPartner with leadership to gain a deep understanding of the key underlying data in Emerald customer databases; work with leadership and IT to close any data gapsProvide ongoing quality assurance and both maintenance and enhancement solutions.Assist in in development of campaign effectiveness reportingWorking with developers to assure specifications are understood and followed2+ years of experience in business reporting and data analyticsExperience in data integration and data quality projectsStrong analytical and problem-solving skillsExcellent oral and written communication and presentation skillsAbility to multi-task easily and juggle priorities in a fast-paced environment supporting multi consumer groupsAbility to work independently and with a strong sense of urgencyPrefer proficient in SQL and understanding of table relationshipsExperience working with Tableau / Salesforce Marketing Cloud CRM would be a plus",data analyst
Dept of Environmental Protect,"Boston, MA",Data Quality and Process Analyst," ensuring clean air, land and water,
 the safe management and recycling of solid and hazardous wastes,
 the timely cleanup of hazardous waste sites and spills,
 and the preservation of wetlands and coastal resources.
 Identify areas where dashboards and data analytics tools will assist MassDEP managers and staff; Meet with staff to gather requirements and produce the appropriate data visualizations using Microsoft Power BI and any other analytics tools available to MassDEP; Assist in identifying areas where MassDEP should further develop or amend data standards to meet enterprise reporting needs;
 Work closely with the MassDEP GIS program on data visualization discussions
 Provide training and support on analytics tools for MassDEP users;
 Provide business process support as needed for MassDEP information transformation projects;
 Provide MassDEP support and maintenance of information on MassDEP SharePoint sites. Experience with data visualization tools such as Power BI, Tableau, or equivalent is required. Experience gathering requirements with agency staff to gather visualization needs.
 Ability to work independently within a team structure
 Strong and demonstrated experience with the Microsoft Office Suite including Word, Excel and Access; Excellent oral and written communication skills; Experience with gathering requirements from staff to document data visualization and analytics needs. Experience collaborating with technical staff to implement visualization solutions: Experience with user centric design;
 Knowledge of web development and experience with web development tools;
 Knowledge of data standards and metadata;
 Broad understanding of environmental regulations and management.
Education toward such a degree will be prorated on the basis of the proportion of the requirements actually completed.
",data analyst
RISK STRATEGIES COMPANY,"Boston, MA",Jr. Business Data Analyst,"Managing the data conversion process of newly acquired firms
Independently determining the correct end-state mappings of data being converted from source systems
Understanding the data and workflow needs of the business and how to translate the data in order to meet those needs
Leading information gathering conversion calls to obtain the data needed to achieve successful conversionsCollege degree preferred
Proficient in Microsoft Excel
Prior analytical experience
Demonstrate strong written and verbal communication skills
Desire to work in a fast-paced dynamic environment
Ability to operate in US time zonesWhile performing the duties of this job, the employee is required to regularly sit, hear, and reach with hands and arms. The employee is occasionally required to stand and walk. The employee must regularly lift and/or move up to 25 pounds. Specific vision abilities required by this job include close vision and the ability to adjust focus.
The work environment characteristics described are representative of those employees performing the essential functions of this job. The noise level in the work environment is usually moderate to loud. Some travel may be required (up to 25%).",data analyst
"Ascension St. Vincent's, FL","Jacksonville, FL","Data Analyst, Southside","
Supports Ministry Market provider development planning through demographic analysis, assessment of provider access, supply database validation, medical staff profiling (e.g., age, specialty, utilization modeling/forecasts) and mapping of providers required to support the planning process.
Supports the design, delivery and analysis of the Ministry Markets periodic clinically integrated system of care survey, including the synthesis of the Ministry Market leaders input and feedback.
Conducts research on service line trends, technology trends and best practices that can support the service line strategy development process.
Gathers internal data required to fulfill data requests to support the master facility planning process.
A Bachelor’s degree in business administration, healthcare management, information science or related field.
Requires a level of knowledge and ability normally achieved by a minimum of 3 years management experience in program development or service line management.
Must have the ability to foster and inspire a collaborative work environment; guide and motivate physicians, peers, management, and subordinates; and build strong relationships of trust.
Proven ability to work with diverse groups and support staff.
Must have excellent communication skills with the ability to be assertive and approachable. Must be hard-working, self-motivated, and results oriented.
Excellent organization skills. Ability to manage multiple projects and priorities independently.
",data analyst
Midwestern IT,"Atlanta, GA",Entry Level Business Analyst,NoneMonday to Friday,data analyst
Lucky Day,"Los Angeles, CA",Data Analyst,"
Define and implement business metrics and KPIs and deliver actionable analyses
Own the design, development, and maintenance of ongoing metrics, dashboards, analyses, and roadmaps
Partner closely with the leadership, Product, and Tech teams to drive product decisions
Design and analyze A/B multivariate tests to drive KPI improvement
Build high-impact dashboards and analytic tools to increase visibility on our data
Bachelor’s Degree in a field such as Computer Science, Electric engineering or equivalent work
2+ years of experience in data management or analysis
2+ years of experience with SQL
Experience working with large data sets
Experience working with a Business Intelligence tool (Tableau, Amplitude, Mode)
Self-starter attitude and able to work independently as well as in a team environment",data analyst
Cimpress/Vistaprint,"Waltham, MA",Senior Data Analyst,"
Creating reports and views to help other teams identify breakthrough insights
Partner cross-functionally with the business to understand organizational needs and propose solutions
Collaborate with domain-experts (website, manufacturing, customer care etc.) to understand the specifics of their domain and develop solutions for the business
Learn everything about management by exception and build models to detect out-of-the-norm fluctuations
Strong Analytics skills with 1+ years’ experience
Experience in Report generation (Excel, Pivot tables, Cubes, Tableau, Looker)
Amazing visualization skills
Strong communication skills to collaborate with business partners across the organization
Understanding of AGILE principles, KANBAN boards
Knowledge of SQL, Python, Databricks
Familiarity with source control (e.g. GIT, GITLab)
Knowledge of automation and associated tools like Jenkins
A highly collaborative team with diverse skill-sets to learn from
Great feedback culture
Working directly with cross-functional partners
Fast, accountable, engaged and empowered teams
The chance to join a fast paced ecommerce company striving to become one of the most iconic data and analytics driven businesses of our time!",data analyst
First Tech Federal Credit Union,"Hillsboro, OR",Consumer Lending Data Analyst,"
In partnership with key stakeholders, analyze, test and launch new initiatives to increase productivity
Provide data driven insights and recommendations to various departments within the credit union
Perform key competitor research and analysis to better inform product strategy and direction
Creating advanced reports, dashboards and deep dive analyses that inform and drive the
credit union’s product and business strategy
Create and refine predictive models on product, marketing, and risk initiatives
Uncover actionable insights for increased product performance
Partnering with marketing, finance and digital teams to enable business and systems synergy
Minimum 3 years’ previous experience in a complex analyst role; financial institution strongly preferred
Minimum 3 years’ previous experience with data collection methodologies
Experience with relational databases, e.g., SQL, Alteryx, and Tableau will help you succeed in this role
Familiarity with coding languages, e.g., R, Python
Strong understanding of statistical overlays and models for predictive analytics
Ability to analyze data from a strategic point of view and contribute to and influence discussions that drive the business
Ability to use key performance metrics and data to provide insights and make strategic business recommendations
Proficiency to organize, analyze and interpret data to explain complex irregularities or trends
Form strong relationships with cross-functional teams where support, resources and synergy is needed
Basic understanding of lending principals and risk metrics
Project Management experience; familiarity with Six Sigma/DMAIC methodologies
Expert knowledge of Excel
Education: Bachelor’s degree in Business Administration, other related fields of study or equivalent experience",data analyst
Clinedge,"North Quincy, MA",Data Analyst,"Maintain Windows server folders with client sensitive information, and study info.Quality check visit data as they are entered by client, and ensuring the amount captures matches with what is on a contract.Identify various payment remittances (payment details) and assign them to the right client account for payment processing.Process payments received on an almost daily schedule.Invoice for items as they occur.Develop reports to present validation of data and payments, and/or A/R (Accounts Receivables).Communicate and work with the CFA (Clinical Financial Analyst) in order to stay on top of client needs.Write Minutes for meetings/calls/video chats with clients alongside with CFA.Archive and record information from various documents in a databaseKeeping track of payment cycles on a calendar basis (monthly, quarterly, etc.)Participate in Special Projects for both clients and internal use.Communicate directly with clients and staff for requesting data/information and building rapport.Travel to visit client site locations throughout the U.S. and Canada.Bachelor's Degree (preferred, however willing to accept applicants with equivalent work experience)Proficiency in Microsoft ExcelProficiency in Microsoft WordProficiency in Google SuiteBasic understanding of Financial/Accounting principlesHave a Bachelor’s Degree in Life Sciences, Accounting, Finance, BusinessHave Strong knowledge in Microsoft Excel and their functions/toolsLove to work with numbers, and are particular in making sure everything is accounted for.Working and communicating with a team, but also like autonomy in your own work.Have worked with systems that process payments/track money/enter data.Have awareness of medical procedures or a desire to learn them.Want to support the development of cutting edge treatments.Accounting: 1 year (Preferred)Bachelor's (Preferred)North Quincy, MA (Required)United States (Required)One locationHealth insuranceDental insuranceVision insuranceRetirement planPaid time offFlexible scheduleParental leaveProfessional development assistanceDependable -- more reliable than spontaneousPeople-oriented -- enjoys interacting with people and working on group projectsAdaptable/flexible -- enjoys doing work that requires frequent shifts in directionDetail-oriented -- would rather focus on the details of work than the bigger pictureAchievement-oriented -- enjoys taking on challenges, even if they might failDetail-oriented -- quality and precision-focusedStable -- traditional, stable, strong processesPeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeOutcome-oriented -- results-focused with strong performance culture",data analyst
The University of Pittsburgh,"Pittsburgh, PA",Data Analyst,NA,data analyst
"DRB Systems, LLC","Meridian, ID",Data Analyst,"Use statistical methods to analyze data and generate useful business reportsWork with our management team to create a prioritized list of needs for each business segmentIdentify and recommend new ways to gain revenue by streamlining analytic processesUse data to create models that depict trends in the customer base and the consumer population as a wholeWork with departmental managers to outline the specific data needs for each business method analysis projectHave 1-3 year of experience in data managementAre a self-motivated, autonomous problem solverUnderstand data work is 80% prep–the successful candidate must know that when developing new tools, brute force may be required to shape the dataHave a high degree of comfortability in ExcelHave functional knowledge of various statistical tools (Regression, ANOVA, ARIMA, Clustering, and PCA)Bring to the table natural curiosity and the ability to adapt models to the available data
Background in mathematics, finance, statistics or businessProven track record of communicating complex findings in a digestible formatSQL database management expertiseExperience with R-Studio, Rattle, Alteryx, Tableau, SPSS, or PythonODBC and API management experience",data analyst
Exec Office of Technology Services and Security,"Boston, MA",Data Analyst,"
Design and develop metrics, analyses, reports, and dashboards to support decision-making and operations across state government; employ a variety of statistical and other software applications, graphics tools, and business intelligence (BI) applications to analyze results, evaluate performance, and project future trends and needs.
Support the design, development, and implementation of data-sharing efforts across Commonwealth offices and agencies; work with team members and outside departments to access data for ongoing projects and other business intelligence needs.
Support the development of public-facing data analytics and reporting.
Research and report on data-management best practices, including in the areas of governance, storage, privacy, and reporting.
Develop and maintain relationships with outside departments and agencies; work with team members to build communities of practice around data use.
2+ years of experience in data analysis, reporting, and visualization, using languages and software such as Python, R, SQL, VBA, and business intelligence (BI) tools (Tableau, PowerBI, or other).
Demonstrated interest in public policy or administration; experience in a government setting desirable.
Strong analytics and critical thinking skills; demonstrated ability to organize and synthesize large datasets and to use data to identify patterns and problems and formulate solutions.
Experience with structured and unstructured data formats including csv, txt, json, and xml.
Experience with basic applied statistical techniques.
Ability to produce consistently high-quality output under strict deadlines.
Ability to communicate methods and findings verbally, in writing, and visually to technical and non-technical audiences.
Capable of working both independently, with direction, and as part of a diverse, multi-skilled team.
Capable of advancing multiple projects and priorities simultaneously.
Strong intellectual curiosity; demonstrated drive to master new skills, systems, and subject matter.Education toward such a degree or diploma will be prorated on the basis of the proportion of the requirements actually completed.
",data analyst
Boston Medical Center (BMC),"Boston, MA",Research Data Analyst,"
Conduct deep and thorough review of subject literature
Coordinate, participate in, and ensure readiness for data collection. Conduct follow up as necessary.
Coordinate, monitor, and collect healthcare utilization and cost data at and with study sites
Analyze research data using basic and advanced statistical methodologies; interpret results for investigators and prepare reports
Work closely with data center to ensure successful transfer of economic data
Synthesize multiple forms of evidence to estimate parameters for simulation modeling
Use an established computer simulation model to perform cost-effectiveness analyses
Interpret model results to draw conclusions about intervention sustainability and cost-effectiveness
Write and edit manuscripts at various stages of development
Maintain project records and ensure adherence to established timelines
Balance multiple competing priorities and tasks
Prepare and coordinate applications to IRBs
Track progress of IRB approvals and continued reporting
Assist with project documentation, reporting, presentations, and preparation of manuscripts
Maintain and update project and regulatory files, as necessary
Administrative tasks
Excellent English communication skills, including comfort with public speaking and formal writing
Excellent interpersonal skills, professionalism, and collaborative spirit
Mastery of computational methods
Understanding of basic cost-effectiveness principals
Previous experience with data management
Previous experience with microsimulation and model-based cost-effectiveness research desired– classroom experience acceptable
Familiarity with R, SAS or other statistical programming language
Data visualization and graphical communication useful
A proven ability to learn and apply new technical skills
Cultural sensitivity and ability to work well with individuals from diverse social, racial, ethnic, and economic backgrounds
Organizational ability to perform multiple tasks efficiently and to prioritize duties
Must be able to maintain strict protocols of all confidential or sensitive information",data analyst
"K12, Inc.",Remote,"Intern, Data Science","About us
K12 Produces Results
Kudos and Honors
thinkTANK12
Performs data manipulation, analysis, and presentation
Executes academic or competitive research and analysis as needed
Collaborates with teammates as well as other parts of the organization to complete assigned tasks
Learns and applies pedagogical and production best practices in course development
Participates in team meetings
Delivers final presentation to the team and possibly other interested parties at the end of the internship
Pursues deep understanding of raw data gathered and a patience for cataloguing and interpreting it with accuracy
Creates and prepares various content, presentations, and materials as needed
Executes tasks by utilizing various technologies and platforms specific to the business
Provides additional support to the team as needed
High School Diploma OR
Currently pursuing a BS/BA or MS/MA degree in Education, Literature, Math, History, or Sciences degree OR
Equivalent combination of education and experienceStrong analytical, written and verbal communication skills
Excellent collaboration skills
Observational and listening skills
Self-motivated
Excellent problem-solving and execution skills
Detail-oriented and organizational skills
Passionate about creating well-designed products for education
Ability to listen effectively, respect others’ perspectives and contributions, and offer and accept constructive feedback
Microsoft Office (Outlook, Word, Excel, PowerPoint, Project, Visio, etc.); Web proficiency.
Ability to clear required background checkProficient in Office 365, online tools & utilities (e.g. Jira, SharePoint)",data analyst
Community Development Corp of Long Island,"Centereach, NY",Data Analyst,"Work independently and collaborate with colleagues to understand database structure and business processesInterpret data, analyze results using statistical methodsCreate and maintain interactive visualizations through data interpretation and analysis integrating various reporting components from multiple data sourcesDefine and implement data acquisition and integration logic, select appropriate combination of methods and tools for optimal scalability and performance.Identify and implement data integrity improvements across work unitsBuild proactive data validation automation to catch data integrity issuesDevelop, implement, and maintain leading edge analytic systems, taking complicated problems and building simple frameworksIdentify trends and opportunities for growth through analysis of complex data setsCreate best practice reports based on data mining, analysis, and visualizationEvaluate internal systems for efficiency, problems, and inaccuracies, develop and maintain protocols for handling, processing, and cleaning dataWork directly with management and users to gather requirements, provide status updates, and build relationships  * Ability to organize and lead meetings with staffStrong ability to troubleshoot and resolve data issuesCommitment to the mission of CDCLIMinimum of 2 years working experience in technical data analysis, data science, or data warehousing with proven business analysis experienceTechnical expertise regarding data models, database design development, data mining and segmentation techniquesProven analytical skills, including mining, evaluation, analysis, and visualizationExcellent writing, communication, reporting, and presentation skills.Strong SQL or Excel skills with the ability to learn other analytical toolsAdvanced knowledge of computer skills including Office Suites, Presentation software, Spreadsheets, Communication and collaboration tools (Microsoft teams, etc.), and Operating systems, for example Windows and Mac.Familiarity with customer management tools, is a plusBS in Mathematics, Economics, Computer Science, Information Management or StatisticsPassionate about data and analyzing business needsHealth insuranceDental insuranceVision insuranceRetirement planPaid time offTuition reimbursementDetail-oriented -- quality and precision-focusedInnovative -- innovative and risk-takingOutcome-oriented -- results-focused with strong performance cultureStable -- traditional, stable, strong processesPeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeMonday to FridayOthercdcli.orgWaiting period may apply",data analyst
